"PMID","domain","Study_Type","state"
"STUDY-0062","Mentioning errors","Causal","REP"
"STUDY-0630","Mentioning errors","Causal","OK"
"STUDY-0335","Mentioning errors","Causal","REP"
"STUDY-0096","Mentioning errors","Causal","OK"
"STUDY-0778","Mentioning errors","Descriptive","REP"
"STUDY-0878","Mentioning errors","Causal","OK"
"STUDY-0864","Mentioning errors","Descriptive","OK"
"STUDY-0902","Mentioning errors","Descriptive","OK"
"STUDY-0345","Mentioning errors","Descriptive","REP"
"STUDY-0472","Mentioning errors","Descriptive","OK"
"STUDY-0331","Mentioning errors","Causal","REP"
"STUDY-0476","Mentioning errors","Causal","OK"
"STUDY-1013","Mentioning errors","Causal","OK"
"STUDY-0194","Mentioning errors","Descriptive","REP"
"STUDY-0736","Mentioning errors","Causal","OK"
"STUDY-0647","Mentioning errors","Causal","OK"
"STUDY-0978","Mentioning errors","Causal","OK"
"STUDY-0188","Mentioning errors","Causal","OK"
"STUDY-0940","Mentioning errors","Causal","OK"
"STUDY-0605","Mentioning errors","Causal","REP"
"STUDY-0084","Mentioning errors","Causal","OK"
"STUDY-0415","Mentioning errors","Causal","REP"
"STUDY-0426","Mentioning errors","Causal","OK"
"STUDY-0824","Mentioning errors","Descriptive","OK"
"STUDY-0974","Mentioning errors","Descriptive","REP"
"STUDY-0679","Mentioning errors","Causal","OK"
"STUDY-0115","Mentioning errors","Causal","OK"
"STUDY-0764","Mentioning errors","Causal","OK"
"STUDY-0677","Mentioning errors","Causal","REP"
"STUDY-0320","Mentioning errors","Causal","OK"
"STUDY-0280","Mentioning errors","Descriptive","OK"
"STUDY-0434","Mentioning errors","Causal","OK"
"STUDY-0237","Mentioning errors","Causal","OK"
"STUDY-0329","Mentioning errors","Causal","OK"
"STUDY-0561","Mentioning errors","Causal","OK"
"STUDY-0130","Mentioning errors","Descriptive","REP"
"STUDY-0083","Mentioning errors","Causal","REP"
"STUDY-0633","Mentioning errors","Causal","OK"
"STUDY-0876","Mentioning errors","Causal","OK"
"STUDY-0669","Mentioning errors","Causal","OK"
"STUDY-0074","Mentioning errors","Descriptive","OK"
"STUDY-0055","Mentioning errors","Descriptive","OK"
"STUDY-0722","Mentioning errors","Descriptive","REP"
"STUDY-0947","Mentioning errors","Descriptive","REP"
"STUDY-0245","Mentioning errors","Descriptive","REP"
"STUDY-0379","Mentioning errors","Causal","OK"
"STUDY-0887","Mentioning errors","Causal","OK"
"STUDY-0695","Mentioning errors","Causal","OK"
"STUDY-0762","Mentioning errors","Causal","REP"
"STUDY-0823","Mentioning errors","Causal","REP"
"STUDY-0536","Mentioning errors","Causal","REP"
"STUDY-0650","Mentioning errors","Causal","OK"
"STUDY-0273","Mentioning errors","Causal","OK"
"STUDY-0961","Mentioning errors","Causal","OK"
"STUDY-0609","Mentioning errors","Causal","OK"
"STUDY-0976","Mentioning errors","Causal","OK"
"STUDY-0282","Mentioning errors","Causal","REP"
"STUDY-0867","Mentioning errors","Descriptive","OK"
"STUDY-0794","Mentioning errors","Descriptive","REP"
"STUDY-0829","Mentioning errors","Causal","REP"
"STUDY-0875","Mentioning errors","Descriptive","OK"
"STUDY-0443","Mentioning errors","Causal","OK"
"STUDY-0269","Mentioning errors","Causal","REP"
"STUDY-0241","Mentioning errors","Causal","OK"
"STUDY-0336","Mentioning errors","Causal","REP"
"STUDY-0812","Mentioning errors","Causal","REP"
"STUDY-0567","Mentioning errors","Causal","OK"
"STUDY-0232","Mentioning errors","Descriptive","OK"
"STUDY-0648","Mentioning errors","Descriptive","OK"
"STUDY-0656","Mentioning errors","Causal","OK"
"STUDY-0185","Mentioning errors","Descriptive","OK"
"STUDY-0991","Mentioning errors","Causal","REP"
"STUDY-0047","Mentioning errors","Descriptive","REP"
"STUDY-0186","Mentioning errors","Descriptive","OK"
"STUDY-0713","Mentioning errors","Causal","OK"
"STUDY-0710","Mentioning errors","Causal","OK"
"STUDY-0520","Mentioning errors","Descriptive","REP"
"STUDY-0156","Mentioning errors","Descriptive","REP"
"STUDY-0944","Mentioning errors","Descriptive","REP"
"STUDY-0305","Mentioning errors","Causal","REP"
"STUDY-0676","Mentioning errors","Causal","REP"
"STUDY-0927","Mentioning errors","Causal","OK"
"STUDY-0906","Mentioning errors","Causal","OK"
"STUDY-0501","Mentioning errors","Causal","OK"
"STUDY-0868","Mentioning errors","Causal","OK"
"STUDY-0183","Mentioning errors","Causal","OK"
"STUDY-0053","Mentioning errors","Descriptive","REP"
"STUDY-0981","Mentioning errors","Causal","OK"
"STUDY-0831","Mentioning errors","Causal","REP"
"STUDY-0519","Mentioning errors","Causal","OK"
"STUDY-0017","Mentioning errors","Causal","OK"
"STUDY-0621","Mentioning errors","Causal","REP"
"STUDY-0905","Mentioning errors","Descriptive","OK"
"STUDY-0143","Mentioning errors","Descriptive","OK"
"STUDY-0644","Mentioning errors","Causal","OK"
"STUDY-0441","Mentioning errors","Descriptive","OK"
"STUDY-0030","Mentioning errors","Causal","REP"
"STUDY-0807","Mentioning errors","Causal","REP"
"STUDY-0371","Mentioning errors","Causal","OK"
"STUDY-0911","Mentioning errors","Causal","REP"
"STUDY-0430","Mentioning errors","Causal","OK"
"STUDY-0968","Mentioning errors","Causal","OK"
"STUDY-0919","Mentioning errors","Causal","REP"
"STUDY-0460","Mentioning errors","Causal","REP"
"STUDY-0617","Mentioning errors","Descriptive","REP"
"STUDY-0674","Mentioning errors","Causal","OK"
"STUDY-0299","Mentioning errors","Causal","OK"
"STUDY-0580","Mentioning errors","Descriptive","OK"
"STUDY-0425","Mentioning errors","Causal","OK"
"STUDY-0783","Mentioning errors","Causal","REP"
"STUDY-0466","Mentioning errors","Causal","OK"
"STUDY-0380","Mentioning errors","Causal","OK"
"STUDY-0196","Mentioning errors","Causal","OK"
"STUDY-0437","Mentioning errors","Causal","OK"
"STUDY-0566","Mentioning errors","Causal","REP"
"STUDY-0928","Mentioning errors","Descriptive","REP"
"STUDY-0202","Mentioning errors","Causal","OK"
"STUDY-0019","Mentioning errors","Causal","OK"
"STUDY-0100","Mentioning errors","Causal","OK"
"STUDY-0400","Conflating task","Causal","NA"
"STUDY-1007","Conflating task","Descriptive","OK"
"STUDY-0995","Conflating task","Causal","NA"
"STUDY-0405","Conflating task","Causal","NA"
"STUDY-0531","Conflating task","Descriptive","VAL"
"STUDY-0106","Conflating task","Descriptive","VAL"
"STUDY-0527","Conflating task","Causal","NA"
"STUDY-0436","Conflating task","Causal","NA"
"STUDY-0427","Conflating task","Causal","NA"
"STUDY-0172","Conflating task","Causal","NA"
"STUDY-0177","Conflating task","Descriptive","OK"
"STUDY-0393","Conflating task","Descriptive","OK"
"STUDY-0774","Conflating task","Causal","NA"
"STUDY-0880","Conflating task","Causal","NA"
"STUDY-0914","Conflating task","Descriptive","VAL"
"STUDY-0104","Conflating task","Causal","NA"
"STUDY-0537","Conflating task","Descriptive","OK"
"STUDY-0658","Conflating task","Causal","NA"
"STUDY-0737","Conflating task","Descriptive","VAL"
"STUDY-0220","Conflating task","Causal","NA"
"STUDY-0994","Conflating task","Causal","NA"
"STUDY-0499","Conflating task","Causal","NA"
"STUDY-0350","Conflating task","Descriptive","VAL"
"STUDY-0354","Conflating task","Descriptive","OK"
"STUDY-0839","Conflating task","Causal","NA"
"STUDY-0750","Conflating task","Causal","NA"
"STUDY-0259","Conflating task","Causal","NA"
"STUDY-0431","Conflating task","Causal","NA"
"STUDY-0821","Conflating task","Descriptive","VAL"
"STUDY-1022","Conflating task","Causal","NA"
"STUDY-0145","Conflating task","Descriptive","OK"
"STUDY-0385","Conflating task","Causal","NA"
"STUDY-0397","Conflating task","Descriptive","OK"
"STUDY-0532","Conflating task","Causal","NA"
"STUDY-0284","Conflating task","Descriptive","VAL"
"STUDY-0970","Conflating task","Descriptive","OK"
"STUDY-0304","Conflating task","Causal","NA"
"STUDY-0487","Conflating task","Descriptive","VAL"
"STUDY-0362","Conflating task","Causal","NA"
"STUDY-0731","Conflating task","Descriptive","OK"
"STUDY-0322","Conflating task","Causal","NA"
"STUDY-0159","Conflating task","Causal","NA"
"STUDY-0419","Conflating task","Causal","NA"
"STUDY-0333","Conflating task","Descriptive","OK"
"STUDY-0046","Conflating task","Causal","NA"
"STUDY-0355","Conflating task","Causal","NA"
"STUDY-0845","Conflating task","Causal","NA"
"STUDY-0555","Conflating task","Causal","NA"
"STUDY-0945","Conflating task","Causal","NA"
"STUDY-0365","Conflating task","Causal","NA"
"STUDY-0023","Conflating task","Causal","NA"
"STUDY-0817","Conflating task","Causal","NA"
"STUDY-0170","Conflating task","Causal","NA"
"STUDY-0442","Conflating task","Causal","NA"
"STUDY-0026","Conflating task","Causal","NA"
"STUDY-0048","Conflating task","Causal","NA"
"STUDY-0326","Conflating task","Causal","NA"
"STUDY-0144","Conflating task","Causal","NA"
"STUDY-0045","Conflating task","Descriptive","VAL"
"STUDY-0234","Conflating task","Descriptive","OK"
"STUDY-0788","Conflating task","Causal","NA"
"STUDY-0521","Conflating task","Causal","NA"
"STUDY-0192","Conflating task","Causal","NA"
"STUDY-0049","Conflating task","Causal","NA"
"STUDY-0012","Conflating task","Descriptive","VAL"
"STUDY-0141","Conflating task","Causal","NA"
"STUDY-0671","Conflating task","Causal","NA"
"STUDY-0924","Conflating task","Descriptive","OK"
"STUDY-0182","Conflating task","Causal","NA"
"STUDY-0597","Conflating task","Causal","NA"
"STUDY-0149","Conflating task","Causal","NA"
"STUDY-0256","Conflating task","Causal","NA"
"STUDY-0157","Conflating task","Causal","NA"
"STUDY-0972","Conflating task","Causal","NA"
"STUDY-0766","Conflating task","Descriptive","VAL"
"STUDY-0257","Conflating task","Causal","NA"
"STUDY-0819","Conflating task","Causal","NA"
"STUDY-0611","Conflating task","Causal","NA"
"STUDY-0942","Conflating task","Causal","NA"
"STUDY-0492","Conflating task","Descriptive","VAL"
"STUDY-0739","Conflating task","Causal","NA"
"STUDY-0306","Conflating task","Causal","NA"
"STUDY-0112","Conflating task","Causal","NA"
"STUDY-0613","Conflating task","Causal","NA"
"STUDY-0522","Conflating task","Causal","NA"
"STUDY-0792","Conflating task","Causal","NA"
"STUDY-0248","Conflating task","Causal","NA"
"STUDY-0189","Conflating task","Causal","NA"
"STUDY-0701","Conflating task","Descriptive","OK"
"STUDY-0040","Conflating task","Causal","NA"
"STUDY-0402","Conflating task","Descriptive","VAL"
"STUDY-0977","Conflating task","Causal","NA"
"STUDY-0429","Conflating task","Causal","NA"
"STUDY-0589","Conflating task","Causal","NA"
"STUDY-0933","Conflating task","Causal","NA"
"STUDY-0330","Conflating task","Causal","NA"
"STUDY-0922","Conflating task","Causal","NA"
"STUDY-0600","Conflating task","Causal","NA"
"STUDY-0119","Conflating task","Causal","NA"
"STUDY-0251","Conflating task","Causal","NA"
"STUDY-0932","Conflating task","Causal","NA"
"STUDY-0749","Conflating task","Descriptive","OK"
"STUDY-0517","Conflating task","Causal","NA"
"STUDY-0210","Conflating task","Descriptive","VAL"
"STUDY-0923","Conflating task","Causal","NA"
"STUDY-0214","Conflating task","Causal","NA"
"STUDY-0565","Conflating task","Causal","NA"
"STUDY-0899","Conflating task","Causal","NA"
"STUDY-0094","Conflating task","Causal","NA"
"STUDY-0809","Conflating task","Causal","NA"
"STUDY-0793","Conflating task","Causal","NA"
"STUDY-0387","Conflating task","Descriptive","VAL"
"STUDY-0700","Conflating task","Causal","NA"
"STUDY-0805","Conflating task","Causal","NA"
"STUDY-0780","Conflating task","Causal","NA"
"STUDY-0184","Conflating task","Causal","NA"
"STUDY-0205","Conflating task","Causal","NA"
"STUDY-0740","Conflating task","Causal","NA"
"STUDY-0930","Conflating task","Causal","NA"
"STUDY-1026","Conflating task","Descriptive","OK"
"STUDY-0649","Conflating task","Causal","NA"
"STUDY-0133","Conflating task","Causal","NA"
"STUDY-0542","Conflating task","Causal","NA"
"STUDY-0337","Conflating task","Causal","NA"
"STUDY-0702","Conflating task","Descriptive","VAL"
"STUDY-0541","Conflating task","Descriptive","VAL"
"STUDY-0840","Conflating task","Causal","NA"
"STUDY-0447","Conflating task","Causal","NA"
"STUDY-0634","Conflating task","Descriptive","VAL"
"STUDY-0037","Conflating task","Causal","NA"
"STUDY-1021","Conflating task","Descriptive","VAL"
"STUDY-0268","Conflating task","Causal","NA"
"STUDY-0943","Conflating task","Descriptive","OK"
"STUDY-0760","Conflating task","Descriptive","VAL"
"STUDY-0549","Conflating task","Causal","NA"
"STUDY-0161","Conflating task","Causal","NA"
"STUDY-0064","Conflating task","Causal","NA"
"STUDY-0952","Conflating task","Descriptive","VAL"
"STUDY-0471","Conflating task","Causal","NA"
"STUDY-0135","Conflating task","Causal","NA"
"STUDY-0963","Conflating task","Causal","NA"
"STUDY-0494","Conflating task","Causal","NA"
"STUDY-0577","Conflating task","Causal","NA"
"STUDY-0598","Conflating task","Causal","NA"
"STUDY-0093","Conflating task","Causal","NA"
"STUDY-0006","Conflating task","Causal","NA"
"STUDY-0698","Conflating task","Causal","NA"
"STUDY-0603","Conflating task","Causal","NA"
"STUDY-1001","Conflating task","Causal","NA"
"STUDY-0423","Conflating task","Causal","NA"
"STUDY-0086","Conflating task","Descriptive","VAL"
"STUDY-0207","Conflating task","Causal","NA"
"STUDY-0109","Conflating task","Causal","NA"
"STUDY-1016","Conflating task","Descriptive","OK"
"STUDY-0473","Conflating task","Descriptive","VAL"
"STUDY-0295","Conflating task","Causal","NA"
"STUDY-0516","Conflating task","Causal","NA"
"STUDY-0803","Conflating task","Descriptive","OK"
"STUDY-0307","Conflating task","Causal","NA"
"STUDY-0560","Conflating task","Descriptive","VAL"
"STUDY-0132","Conflating task","Causal","NA"
"STUDY-0852","Conflating task","Causal","NA"
"STUDY-0231","Conflating task","Causal","NA"
"STUDY-0595","Conflating task","Causal","NA"
"STUDY-0834","Conflating task","Causal","NA"
"STUDY-0865","Conflating task","Descriptive","OK"
"STUDY-0339","Conflating task","Descriptive","OK"
"STUDY-0773","Conflating task","Descriptive","VAL"
"STUDY-0744","Conflating task","Causal","NA"
"STUDY-0475","Conflating task","Causal","NA"
"STUDY-0853","Conflating task","Causal","NA"
"STUDY-0403","Conflating task","Causal","NA"
"STUDY-0628","Conflating task","Causal","NA"
"STUDY-0653","Conflating task","Causal","NA"
"STUDY-0005","Conflating task","Causal","NA"
"STUDY-0162","Conflating task","Causal","NA"
"STUDY-0728","Conflating task","Causal","NA"
"STUDY-0590","Conflating task","Causal","NA"
"STUDY-0440","Conflating task","Descriptive","OK"
"STUDY-0450","Conflating task","Causal","NA"
"STUDY-0416","Conflating task","Causal","NA"
"STUDY-0557","Conflating task","Causal","NA"
"STUDY-0352","Conflating task","Causal","NA"
"STUDY-0468","Conflating task","Descriptive","VAL"
"STUDY-0665","Conflating task","Causal","NA"
"STUDY-0988","Conflating task","Causal","NA"
"STUDY-0252","Conflating task","Causal","NA"
"STUDY-0986","Conflating task","Causal","NA"
"STUDY-0781","Conflating task","Causal","NA"
"STUDY-0360","Conflating task","Causal","NA"
"STUDY-1003","Conflating task","Descriptive","VAL"
"STUDY-0062","Conflating task","Causal","NA"
"STUDY-0630","Conflating task","Causal","NA"
"STUDY-0335","Conflating task","Causal","NA"
"STUDY-0096","Conflating task","Causal","NA"
"STUDY-0778","Conflating task","Descriptive","VAL"
"STUDY-0878","Conflating task","Causal","NA"
"STUDY-0864","Conflating task","Descriptive","VAL"
"STUDY-0902","Conflating task","Descriptive","VAL"
"STUDY-0345","Conflating task","Descriptive","VAL"
"STUDY-0472","Conflating task","Descriptive","OK"
"STUDY-0331","Conflating task","Causal","NA"
"STUDY-0476","Conflating task","Causal","NA"
"STUDY-1013","Conflating task","Causal","NA"
"STUDY-0194","Conflating task","Descriptive","VAL"
"STUDY-0736","Conflating task","Causal","NA"
"STUDY-0647","Conflating task","Causal","NA"
"STUDY-0978","Conflating task","Causal","NA"
"STUDY-0188","Conflating task","Causal","NA"
"STUDY-0940","Conflating task","Causal","NA"
"STUDY-0605","Conflating task","Causal","NA"
"STUDY-0084","Conflating task","Causal","NA"
"STUDY-0415","Conflating task","Causal","NA"
"STUDY-0426","Conflating task","Causal","NA"
"STUDY-0824","Conflating task","Descriptive","OK"
"STUDY-0974","Conflating task","Descriptive","VAL"
"STUDY-0679","Conflating task","Causal","NA"
"STUDY-0115","Conflating task","Causal","NA"
"STUDY-0764","Conflating task","Causal","NA"
"STUDY-0677","Conflating task","Causal","NA"
"STUDY-0320","Conflating task","Causal","NA"
"STUDY-0280","Conflating task","Descriptive","VAL"
"STUDY-0434","Conflating task","Causal","NA"
"STUDY-0237","Conflating task","Causal","NA"
"STUDY-0329","Conflating task","Causal","NA"
"STUDY-0561","Conflating task","Causal","NA"
"STUDY-0130","Conflating task","Descriptive","OK"
"STUDY-0083","Conflating task","Causal","NA"
"STUDY-0633","Conflating task","Causal","NA"
"STUDY-0876","Conflating task","Causal","NA"
"STUDY-0669","Conflating task","Causal","NA"
"STUDY-0074","Conflating task","Descriptive","VAL"
"STUDY-0055","Conflating task","Descriptive","VAL"
"STUDY-0722","Conflating task","Descriptive","VAL"
"STUDY-0947","Conflating task","Descriptive","OK"
"STUDY-0245","Conflating task","Descriptive","VAL"
"STUDY-0379","Conflating task","Causal","NA"
"STUDY-0887","Conflating task","Causal","NA"
"STUDY-0695","Conflating task","Causal","NA"
"STUDY-0762","Conflating task","Causal","NA"
"STUDY-0823","Conflating task","Causal","NA"
"STUDY-0536","Conflating task","Causal","NA"
"STUDY-0650","Conflating task","Causal","NA"
"STUDY-0273","Conflating task","Causal","NA"
"STUDY-0961","Conflating task","Causal","NA"
"STUDY-0609","Conflating task","Causal","NA"
"STUDY-0976","Conflating task","Causal","NA"
"STUDY-0282","Conflating task","Causal","NA"
"STUDY-0867","Conflating task","Descriptive","VAL"
"STUDY-0794","Conflating task","Descriptive","OK"
"STUDY-0829","Conflating task","Causal","NA"
"STUDY-0875","Conflating task","Descriptive","VAL"
"STUDY-0443","Conflating task","Causal","NA"
"STUDY-0269","Conflating task","Causal","NA"
"STUDY-0241","Conflating task","Causal","NA"
"STUDY-0336","Conflating task","Causal","NA"
"STUDY-0812","Conflating task","Causal","NA"
"STUDY-0567","Conflating task","Causal","NA"
"STUDY-0232","Conflating task","Descriptive","VAL"
"STUDY-0648","Conflating task","Descriptive","VAL"
"STUDY-0656","Conflating task","Causal","NA"
"STUDY-0185","Conflating task","Descriptive","VAL"
"STUDY-0991","Conflating task","Causal","NA"
"STUDY-0047","Conflating task","Descriptive","VAL"
"STUDY-0186","Conflating task","Descriptive","VAL"
"STUDY-0713","Conflating task","Causal","NA"
"STUDY-0710","Conflating task","Causal","NA"
"STUDY-0520","Conflating task","Descriptive","VAL"
"STUDY-0156","Conflating task","Descriptive","OK"
"STUDY-0944","Conflating task","Descriptive","VAL"
"STUDY-0305","Conflating task","Causal","NA"
"STUDY-0676","Conflating task","Causal","NA"
"STUDY-0927","Conflating task","Causal","NA"
"STUDY-0906","Conflating task","Causal","NA"
"STUDY-0501","Conflating task","Causal","NA"
"STUDY-0868","Conflating task","Causal","NA"
"STUDY-0183","Conflating task","Causal","NA"
"STUDY-0053","Conflating task","Descriptive","OK"
"STUDY-0981","Conflating task","Causal","NA"
"STUDY-0831","Conflating task","Causal","NA"
"STUDY-0519","Conflating task","Causal","NA"
"STUDY-0017","Conflating task","Causal","NA"
"STUDY-0621","Conflating task","Causal","NA"
"STUDY-0905","Conflating task","Descriptive","VAL"
"STUDY-0143","Conflating task","Descriptive","OK"
"STUDY-0644","Conflating task","Causal","NA"
"STUDY-0441","Conflating task","Descriptive","VAL"
"STUDY-0030","Conflating task","Causal","NA"
"STUDY-0807","Conflating task","Causal","NA"
"STUDY-0371","Conflating task","Causal","NA"
"STUDY-0911","Conflating task","Causal","NA"
"STUDY-0430","Conflating task","Causal","NA"
"STUDY-0968","Conflating task","Causal","NA"
"STUDY-0919","Conflating task","Causal","NA"
"STUDY-0460","Conflating task","Causal","NA"
"STUDY-0617","Conflating task","Descriptive","VAL"
"STUDY-0674","Conflating task","Causal","NA"
"STUDY-0299","Conflating task","Causal","NA"
"STUDY-0580","Conflating task","Descriptive","VAL"
"STUDY-0425","Conflating task","Causal","NA"
"STUDY-0783","Conflating task","Causal","NA"
"STUDY-0466","Conflating task","Causal","NA"
"STUDY-0380","Conflating task","Causal","NA"
"STUDY-0196","Conflating task","Causal","NA"
"STUDY-0437","Conflating task","Causal","NA"
"STUDY-0566","Conflating task","Causal","NA"
"STUDY-0928","Conflating task","Descriptive","VAL"
"STUDY-0202","Conflating task","Causal","NA"
"STUDY-0019","Conflating task","Causal","NA"
"STUDY-0100","Conflating task","Causal","NA"
